Gene.symbol	Gene.title	adj.P.Val	logFC
EIF4H	eukaryotic translation initiation factor 4H	0.0897223560860984	1.15484421238461
TNPO1	transportin 1	0.0897223560860984	-0.612749467128205
TMEM109	transmembrane protein 109	0.0897250943735755	0.623886932897436
LCN1	lipocalin 1	0.0897250943735755	0.970206677076924
GAK	cyclin G associated kinase	0.0897454676179729	0.478270339358973
KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	0.0897804477362472	0.899728413538462
NECAP2	NECAP endocytosis associated 2	0.0897804477362472	0.565471044307694
ALKBH4	alkB homolog 4, lysine demethylase	0.0897804477362472	-0.733104476564102
KLHL31	kelch like family member 31	0.089792619976717	-0.517619322205129
NMRAL1P1	NmrA like redox sensor 1 pseudogene 1	0.0898322741122626	-0.706303405230771
NCBP3	nuclear cap binding subunit 3	0.0898322741122626	0.480774663564103
		0.0898322741122626	-0.394360273846155
TIMP3	TIMP metallopeptidase inhibitor 3	0.0898322741122626	-1.06479992969231
		0.0898322741122626	-1.49886981974359
		0.0898322741122626	0.9605254844359
		0.0898472527671521	-0.586233046410255
UBAC2	UBA domain containing 2	0.0898595821643772	-0.607481261846154
		0.0898725568110469	-1.12339744946154
THRAP3	thyroid hormone receptor associated protein 3	0.0898725568110469	0.729329205333332
THAP7	THAP domain containing 7	0.0900033494636058	0.684890658615385
TPM4	tropomyosin 4	0.0900612678533706	0.61435243253846
TMEM205	transmembrane protein 205	0.0900727856836993	-0.806346406948721
		0.0901089326290753	-0.664026225615386
		0.0901234041955439	-0.949933530512823
SUSD1	sushi domain containing 1	0.0901234041955439	0.866056726641024
CLCA2	chloride channel accessory 2	0.0901394783624989	0.400542267358973
		0.0903028065573424	1.16251088189744
		0.0903327255761039	0.901418540256403
DHDDS	dehydrodolichyl diphosphate synthase subunit	0.0904479702585671	-0.462214370333335
AP1S3	adaptor related protein complex 1 sigma 3 subunit	0.0905534844973757	1.06107477920513
CD8A	CD8a molecule	0.0905534844973757	0.927655145692309
LOC105377774	uncharacterized LOC105377774	0.0905534844973757	-0.814491503153847
		0.0905534844973757	0.647366001461538
OAS3	2'-5'-oligoadenylate synthetase 3	0.090620923466321	1.04691464933333
		0.0906838022624266	-0.980710602794872
		0.0909788736080901	-0.996031493384616
C16orf70	chromosome 16 open reading frame 70	0.0909788736080901	0.680551037974357
SLC17A7	solute carrier family 17 member 7	0.0910428971800859	0.566819225948719
KCNC1	potassium voltage-gated channel subfamily C member 1	0.0911175447283764	0.812419147692307
		0.0911197598389276	0.736018162025641
		0.0911197598389276	-1.26872194361538
UHRF1BP1	UHRF1 binding protein 1	0.091169581144088	0.753513927846155
NWD2	NACHT and WD repeat domain containing 2	0.0912675900737281	0.389526356153846
PDE4A	phosphodiesterase 4A	0.0912862248530744	0.710991631897436
GSN	gelsolin	0.0912862248530744	0.732395005435901
GOT1	glutamic-oxaloacetic transaminase 1	0.0913718317849727	-0.873077497051282
		0.0914519178937269	-0.594099410666668
		0.0914962191587855	0.845423767512821
FTH1P3	ferritin heavy chain 1 pseudogene 3	0.0915725063417358	-0.889597363435899
IL12A	interleukin 12A	0.0915725063417358	-0.988078681282052
SNORD75	small nucleolar RNA, C/D box 75	0.0916162558598868	1.22305333220513
DAPK1	death associated protein kinase 1	0.0917029293182711	-0.919643376128207
		0.0917029293182711	-0.810629514256411
CCR4	C-C motif chemokine receptor 4	0.0917029293182711	0.945763257743591
LZTFL1	leucine zipper transcription factor like 1	0.0917029293182711	-0.902756875897436
GALNS	galactosamine (N-acetyl)-6-sulfatase	0.0917029293182711	0.559862278897434
ABI2	abl-interactor 2	0.0917281100675977	-1.29301976512821
ZNF407	zinc finger protein 407	0.0917307834737404	0.759373245589743
TAMM41	TAM41 mitochondrial translocator assembly and maintenance homolog	0.0917318353006126	-0.705944078641024
CASP5	caspase 5	0.0917479757126585	0.823510794076923
TRAF6	TNF receptor associated factor 6	0.0917853393046547	0.639571217923077
CCDC47	coiled-coil domain containing 47	0.0917853393046547	0.806595421128206
COQ9	coenzyme Q9	0.0917853393046547	-0.605950319512822
		0.0917853393046547	-0.841851838153846
HINT1	histidine triad nucleotide binding protein 1	0.0917853393046547	-0.878924062538458
ADNP	activity dependent neuroprotector homeobox	0.0919003982861959	-0.743621690589741
C12orf4	chromosome 12 open reading frame 4	0.0919105560079071	1.18058387915384
NPAS1	neuronal PAS domain protein 1	0.0919210570157443	0.544707715435897
TRIM50	tripartite motif containing 50	0.0919210570157443	0.70972263025641
KRTAP5-1	keratin associated protein 5-1	0.0919230258378329	-0.866063051128206
		0.0920149197660543	-0.735595981025642
		0.0922265899086092	1.08754443879487
HCN3	hyperpolarization activated cyclic nucleotide gated potassium channel 3	0.0922265899086092	-0.47953525497436
SNORD56B	small nucleolar RNA, C/D box 56B	0.0922265899086092	1.3509145438718
INPP5B	inositol polyphosphate-5-phosphatase B	0.0924958527695715	-0.543691717666668
TTC19	tetratricopeptide repeat domain 19	0.0924958527695715	-0.620286120871799
CD53	CD53 molecule	0.0924958527695715	0.678573548307687
TIFAB///DCANP1	TIFA inhibitor///dendritic cell associated nuclear protein	0.0926569513140842	1.06967180551282
FAIM	Fas apoptotic inhibitory molecule	0.0927127274455737	-0.916867007410255
		0.0927127274455737	-1.32839691230769
PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A	0.0928144247493599	0.751829972000001
RPS6KA4	ribosomal protein S6 kinase A4	0.092856294263602	0.584098326461539
SCD5	stearoyl-CoA desaturase 5	0.092856294263602	-0.69113273925641
		0.092856294263602	-0.496198089974359
ACBD6	acyl-CoA binding domain containing 6	0.0928613827650789	-0.756752884487181
		0.0931933207907828	-0.822385161461538
FCN1	ficolin 1	0.0932306385279038	1.48833571525641
ACBD4	acyl-CoA binding domain containing 4	0.0932306385279038	-0.684796301871796
PDLIM7	PDZ and LIM domain 7	0.093306644513975	0.655269591230771
TMEM128	transmembrane protein 128	0.0933280300311092	-0.603998161435897
CCNB1	cyclin B1	0.093445106267924	1.65872955669231
PTH	parathyroid hormone	0.0934563511588603	-0.423532149128206
OR8D1	olfactory receptor family 8 subfamily D member 1	0.0935627907017961	0.474051236025641
DDX49	DEAD-box helicase 49	0.0935627907017961	0.439439738051278
		0.0936455026078521	1.34877805089744
RBM12B	RNA binding motif protein 12B	0.0937216191734597	-1.06080022915385
PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	0.0937534552897805	-0.819713487384618
		0.0939330542840549	0.859828223102563
		0.0939330542840549	0.918033657307692
ECM1	extracellular matrix protein 1	0.0939330542840549	0.618239153025644
		0.0939330542840549	0.382309798717952
AKR1A1	aldo-keto reductase family 1 member A1	0.0939330542840549	-0.789636211871796
SETD1B	SET domain containing 1B	0.0939914609054402	0.519963743564103
ABT1	activator of basal transcription 1	0.0940101993773926	0.676174631769231
RARS2	arginyl-tRNA synthetase 2, mitochondrial	0.0940276297815855	-0.422002170410256
ACER3	alkaline ceramidase 3	0.0940920162985783	1.36677102123077
		0.0942253034337969	-1.10557669151282
		0.0942415260487101	-0.838938108051284
		0.0942814107365638	-0.578675563076923
FAM72A///FAM72D///FAM72B	family with sequence similarity 72 member A///family with sequence similarity 72 member D///family with sequence similarity 72 member B	0.0942814107365638	1.58455211887179
		0.0943386130258013	-1.03879490653846
		0.0943386130258013	0.440093566769228
C3orf14	chromosome 3 open reading frame 14	0.0943471647488062	-0.591994638282052
ADGRA3	adhesion G protein-coupled receptor A3	0.0943471647488062	-1.04457361405128
		0.0943942612665327	0.87509780825641
PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	0.0943942612665327	-0.838339661564103
		0.0943942612665327	0.535098390564103
TMEM184B	transmembrane protein 184B	0.0943993513296864	0.693335057641025
		0.0944902433455889	-1.52864150489744
PGAM5	PGAM family member 5, mitochondrial serine/threonine protein phosphatase	0.0944986047042003	-0.628556086846155
		0.0944986047042003	-0.249774376692307
PSD3	pleckstrin and Sec7 domain containing 3	0.0944986047042003	0.834545138410256
SLC1A6	solute carrier family 1 member 6	0.0945342469163688	-0.512669549897437
PLCL2	phospholipase C like 2	0.0945813235392056	-0.743750919820513
ZC3H6	zinc finger CCCH-type containing 6	0.0945813235392056	-0.798227871769233
HOXA11	homeobox A11	0.0946386057625418	0.672580166538463
PDGFRA	platelet derived growth factor receptor alpha	0.0946386057625418	0.490525270461539
		0.0947237669242185	1.30247268679487
ZNF627///ZNF627	zinc finger protein 627///zinc finger protein 627	0.0947696055722367	-0.94552491074359
		0.0947994010944894	0.692168279692308
AP1G2	adaptor related protein complex 1 gamma 2 subunit	0.0948226330640639	-0.450519327692307
CRIM1	cysteine rich transmembrane BMP regulator 1	0.0948641430357081	-1.16389760151282
CGB2///CGB1///CGB8///CGB7///CGB5///LHB///CGB3///CGB7	chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///luteinizing hormone beta polypeptide///chorionic gonadotropin beta subunit 3///chorionic gonadotropin beta subunit 7	0.0948968030440788	1.13269278184615
CEP192	centrosomal protein 192	0.0949197231209129	0.571826091435898
		0.0949197231209129	-1.16216326905128
		0.0949197231209129	-0.612012079589744
LRRC34	leucine rich repeat containing 34	0.0950053874166233	-0.954652900615385
C20orf85	chromosome 20 open reading frame 85	0.0950545517253421	0.66441192225641
CLIC2	chloride intracellular channel 2	0.0950545517253421	-1.32894756976923
		0.0950545517253421	-0.742719627564104
LINC00114	long intergenic non-protein coding RNA 114	0.0950762916149392	-0.614518887282051
ALDH7A1	aldehyde dehydrogenase 7 family member A1	0.095084271427418	-1.50424080269231
		0.0951301691655447	-0.783937830589746
USP27X	ubiquitin specific peptidase 27, X-linked	0.0951301691655447	-0.652093218205127
CA14	carbonic anhydrase 14	0.0952295149554059	0.598569387410256
		0.0952295149554059	0.488427361692308
BPI	bactericidal/permeability-increasing protein	0.0952295149554059	1.74093673753846
TSEN15	tRNA splicing endonuclease subunit 15	0.0955209824562344	-0.585148933333334
GBGT1///GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1///globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	0.0955312012180679	-0.598686524025642
WNT2	Wnt family member 2	0.0956259700710861	0.530828123717949
		0.0956374075390243	1.28237562779487
DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2	0.0956374075390243	0.858659220692307
ADCK2	aarF domain containing kinase 2	0.0957233644418904	-0.546940287333332
LINC01547	long intergenic non-protein coding RNA 1547	0.0958118312463321	-0.496566984102562
ACSL6	acyl-CoA synthetase long-chain family member 6	0.0958118312463321	0.95828591051282
ACOT8	acyl-CoA thioesterase 8	0.0958118312463321	0.405864271435895
		0.0958335938678434	-0.587391493641026
KMT5B	lysine methyltransferase 5B	0.0958743424775074	-0.756146705743589
SUMO4///SUMO2	small ubiquitin-like modifier 4///small ubiquitin-like modifier 2	0.0959520297001921	-1.14402585212821
HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1-like 2	0.0960311908023316	-1.17759890948718
ICE2	interactor of little elongation complex ELL subunit 2	0.0960342788725884	-0.752630375102562
		0.0960342788725884	-0.745542015794872
ACKR3	atypical chemokine receptor 3	0.0960342788725884	-0.822857412179488
CTDNEP1	CTD nuclear envelope phosphatase 1	0.0960850574601239	0.59599883846154
ANO6	anoctamin 6	0.0964115722884957	0.723932375564101
		0.0964217772577596	0.809575198333334
MIR22HG	MIR22 host gene	0.0965429051796327	1.06299050671795
ZBTB7A	zinc finger and BTB domain containing 7A	0.0966507339929455	0.565130833
C1QL2	complement C1q like 2	0.0966507339929455	0.636616039538461
		0.0966507339929455	-0.675539942717949
AGFG1	ArfGAP with FG repeats 1	0.0966507339929455	0.939100598435896
EFCAB12	EF-hand calcium binding domain 12	0.0966507339929455	0.641284496179485
UBA5	ubiquitin like modifier activating enzyme 5	0.0967010157729294	-0.797742362641027
TAS2R14	taste 2 receptor member 14	0.0967010157729294	-1.08524186902564
DUSP27	dual specificity phosphatase 27 (putative)	0.096702720095899	0.765128978282049
		0.0967994035986603	1.18990703930769
		0.0968108266934473	-0.600447704564102
CEP350	centrosomal protein 350	0.0968108266934473	0.597776249999999
		0.0969182591599209	-0.758542587794871
LOC107987457///PPP1R18	phostensin-like///protein phosphatase 1 regulatory subunit 18	0.0969231820635881	0.591654322333332
		0.0970053696731358	-0.623375283410257
		0.0970449340933093	0.938449954076924
MYO19	myosin XIX	0.0970570484553803	0.462448420999999
OLFM3	olfactomedin 3	0.0973210907234434	0.55608009476923
SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	0.0973410899234491	-0.383853437846154
INA	internexin neuronal intermediate filament protein alpha	0.0973976675089495	0.64883561771795
GARNL3	GTPase activating Rap/RanGAP domain like 3	0.0974819388922865	-0.605902437615384
BCAS2	breast carcinoma amplified sequence 2	0.0975194558731118	-0.765226541769231
DND1	DND microRNA-mediated repression inhibitor 1	0.0975376960894219	1.32128394394872
GOLGA8R///GOLGA8DP///GOLGA8CP///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8EP///GOLGA8IP	golgin A8 family member R///golgin A8 family member D, pseudogene///golgin A8 family member C, pseudogene///golgin A8 family member O///golgin A8 family member M///golgin A8 family member K///golgin A8 family member T///golgin A8 family member J///golgin A8 family member S///golgin A8 family member N///golgin A8 family member E, pseudogene///golgin A8 family member I, pseudogene	0.0975838750307755	-1.15988911271795
TEX264	testis expressed 264	0.0975838750307755	0.551322173948718
MPP7	membrane palmitoylated protein 7	0.0975871856900061	-1.0539386758718
		0.0975871856900061	-1.06661225028205
MSH5-SAPCD1///SAPCD1	MSH5-SAPCD1 readthrough (NMD candidate)///suppressor APC domain containing 1	0.0976281265490797	-0.617205435589743
MOCOS	molybdenum cofactor sulfurase	0.097633922529589	0.603796807025641
ZNF2	zinc finger protein 2	0.0976994799373927	-0.704905992230771
GALK2	galactokinase 2	0.0977870093125834	-0.775324239461538
KLHDC9	kelch domain containing 9	0.0977870093125834	-0.529655635179487
LILRB3	leukocyte immunoglobulin like receptor B3	0.0977870093125834	1.31349501146153
		0.0977870093125834	-0.469994846153846
		0.0977870093125834	-1.19305087015385
PDX1	pancreatic and duodenal homeobox 1	0.0977870093125834	0.624682698589741
STXBP1	syntaxin binding protein 1	0.0977870093125834	-1.01487622135897
SRPX	sushi repeat containing protein, X-linked	0.097814057978993	0.703992721974357
		0.0978349111510993	-0.632213476179487
TACSTD2	tumor-associated calcium signal transducer 2	0.0978349111510993	0.811280490051282
HNRNPCL1	heterogeneous nuclear ribonucleoprotein C-like 1	0.0979078292361551	-0.91134007225641
		0.0979619818586082	-0.615729177564103
LOC100133091	uncharacterized LOC100133091	0.0979821078443665	-0.723757620205129
NDST4	N-deacetylase and N-sulfotransferase 4	0.0979821078443665	0.339423897564103
		0.0980969442738028	-0.667733573410258
NOC4L///NOC4L	nucleolar complex associated 4 homolog///nucleolar complex associated 4 homolog	0.0981342445006452	0.514976851435897
		0.0981397683881296	-1.04635843115385
		0.0981397683881296	-0.862402177205127
CDON	cell adhesion associated, oncogene regulated	0.0982374415018361	0.57589927225641
		0.0983170611514378	-1.04051309415385
PTCD2	pentatricopeptide repeat domain 2	0.0983170611514378	-0.802696643512822
		0.098486933195492	-0.852717025538462
		0.0985240365138395	0.650914358615385
HEXDC	hexosaminidase D	0.0985240365138395	-0.477435453000001
TRA2A	transformer 2 alpha homolog	0.098529026076466	-0.791976998846152
		0.0985353243039468	1.26040374494872
PTGDS	prostaglandin D2 synthase	0.0986761962648222	0.758994261692307
SFXN1	sideroflexin 1	0.0986989856884455	-1.0001970654359
		0.0986989856884455	0.659882719512819
METAP2	methionyl aminopeptidase 2	0.0986989856884455	0.704525262692307
RXFP2	relaxin/insulin like family peptide receptor 2	0.0987114927407147	0.355826858205128
WDR19	WD repeat domain 19	0.0987114927407147	-0.875284323461539
		0.0987114927407147	-0.532742518692309
		0.0987114927407147	0.516595547282051
PRLR	prolactin receptor	0.0987266037693341	1.15727960453846
POU5F1P3///POU5F1P3	POU class 5 homeobox 1 pseudogene 3///POU class 5 homeobox 1 pseudogene 3	0.0987266037693341	0.933301036461536
CNOT6L	CCR4-NOT transcription complex subunit 6 like	0.0989249469788014	-0.606683046948717
		0.0989525702917172	1.20914172271795
IGF1R	insulin like growth factor 1 receptor	0.0989525702917172	-1.21844521779487
		0.0989525702917172	-1.53517998133333
		0.0989745149179039	1.71243995392308
		0.0990224239064316	-0.620424641794877
NFATC2///NFATC2	nuclear factor of activated T-cells 2///nuclear factor of activated T-cells 2	0.099040308242631	-1.13846360038462
CASC3	cancer susceptibility candidate 3	0.0990599677412192	0.422674102743589
NXPH3	neurexophilin 3	0.0990981653837741	0.61401200251282
VMP1	vacuole membrane protein 1	0.0991941116526102	0.603785837128207
GPATCH3	G-patch domain containing 3	0.0991941116526102	0.716771338358974
UBN1	ubinuclein 1	0.0992629942391351	0.745358150743592
CD27	CD27 molecule	0.0993454613376296	0.914869337846153
SLC5A6	solute carrier family 5 member 6	0.0993659245017421	0.747832779897437
MARK4	microtubule affinity regulating kinase 4	0.0993659245017421	0.485797823897435
CALR	calreticulin	0.0993659245017421	0.671894351282047
ZNF33B	zinc finger protein 33B	0.099469889654928	-1.49450866179487
HELB	DNA helicase B	0.0996389728534934	0.599280175384616
NKX2-1-AS1	NKX2-1 antisense RNA 1	0.0997513423877169	0.64415865
TRAF5	TNF receptor associated factor 5	0.0997513423877169	-0.968125955564106
		0.0998169917209884	-1.51209540346154
TFE3	transcription factor binding to IGHM enhancer 3	0.0998436029367506	0.73510479651282
PPP1R3C	protein phosphatase 1 regulatory subunit 3C	0.0999327224837625	0.560122756948718
		0.0999327224837625	1.61332903189743
HTR4	5-hydroxytryptamine receptor 4	0.100023973256272	0.649549248666667
MGMT	O-6-methylguanine-DNA methyltransferase	0.100023973256272	-0.584271466666667
		0.100086703272648	-0.742591286794872
HADHB	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit	0.100241350680918	-0.584798235179493
STRIP2	striatin interacting protein 2	0.100241350680918	0.834852279794873
		0.100241350680918	-0.844600026435897
		0.100269971911095	-0.616963743384614
NPLOC4	NPL4 homolog, ubiquitin recognition factor	0.100269971911095	0.41037710553846
LRGUK	leucine rich repeats and guanylate kinase domain containing	0.100318457257622	0.776714098564103
ZDHHC6	zinc finger DHHC-type containing 6	0.100331687759785	-0.558732609025641
BAZ1A	bromodomain adjacent to zinc finger domain 1A	0.100346164818741	0.86164403323077
HCFC1	host cell factor C1	0.100346164818741	0.764619513564102
DENND4C	DENN domain containing 4C	0.100386131883893	-0.555811965871796
		0.100405411695514	-1.32829812028205
		0.100442472852026	-1.15344455512821
EEF1D	eukaryotic translation elongation factor 1 delta	0.100483296869127	-0.724165366820514
MRPS9	mitochondrial ribosomal protein S9	0.100483296869127	-0.574255537153846
LMBR1L	limb development membrane protein 1 like	0.100538635872103	-0.599604138948719
		0.100593072065002	-1.06064025715385
		0.100593072065002	-1.41098945192308
GINS3	GINS complex subunit 3	0.100597686846029	0.932667099435896
		0.100600109788148	0.683181989307692
TEX101	testis expressed 101	0.100600109788148	0.469821759717948
ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	0.1006029038513	0.835410271487178
		0.1006029038513	0.399368569999998
BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6	0.1006029038513	0.574439937487181
HAUS8	HAUS augmin like complex subunit 8	0.1006029038513	0.695850724384615
		0.100616396261374	-1.11221978787179
CXCL6	C-X-C motif chemokine ligand 6	0.100635406141761	0.649771266128206
PEBP1	phosphatidylethanolamine binding protein 1	0.100635406141761	-1.0435199685641
TMEM134	transmembrane protein 134	0.100683519202351	-0.597648692794873
		0.100774454713396	1.00928663979487
		0.100774454713396	0.488238181000002
ZNF500	zinc finger protein 500	0.100827551081799	-0.54364948151282
BCL2L10	BCL2 like 10	0.100910989209303	-0.591401707512821
LOC100128922	connexin	0.101042719905963	-0.356581714615384
		0.101042719905963	-1.38350040315385
COASY	Coenzyme A synthase	0.101048049026835	0.633989332512819
CCNB1IP1	cyclin B1 interacting protein 1	0.101048049026835	-0.873993256641024
HS1BP3	HCLS1 binding protein 3	0.101101788612042	0.41729864302564
		0.101102060265303	-0.517430981410256
		0.101166188586515	1.3457124091282
ZFAND3	zinc finger AN1-type containing 3	0.101166188586515	0.53670287553846
UBE2E4P///UBE2E3	ubiquitin conjugating enzyme E2 E4 pseudogene///ubiquitin conjugating enzyme E2 E3	0.101166188586515	-0.75612481174359
		0.101291483663235	-0.732619840512829
TPM3P9	tropomyosin 3 pseudogene 9	0.101314031966382	0.506406804923076
		0.10136384792018	-1.67255561017949
		0.101425629570733	-0.499926617000001
CBWD6///CBWD3///CBWD5///CBWD2///CBWD1///CBWD6///CBWD3///CBWD5///CBWD1	COBW domain containing 6///COBW domain containing 3///COBW domain containing 5///COBW domain containing 2///COBW domain containing 1///COBW domain containing 6///COBW domain containing 3///COBW domain containing 5///COBW domain containing 1	0.101447110855313	-1.09437013953846
		0.101489688015591	-0.559398901179488
PSMD11	proteasome 26S subunit, non-ATPase 11	0.10164194221735	0.580763094307693
		0.10164194221735	-0.352895458564102
LAT	linker for activation of T-cells	0.101737123462713	0.844396100871795
SVIP	small VCP interacting protein	0.101737123462713	-0.99361171648718
FAM86EP	family with sequence similarity 86, member A pseudogene	0.101737123462713	-0.513104318051282
RAB5C	RAB5C, member RAS oncogene family	0.101826355274165	1.20330193261539
FYB	FYN binding protein	0.101916116782193	1.41903139992308
JMJD6	arginine demethylase and lysine hydroxylase	0.101916116782193	0.764376950025642
PDE1B	phosphodiesterase 1B	0.101982975389077	0.773943585948717
		0.102021975535066	-0.939184250846155
OK/SW-CL.58	OK/SW-CL.58	0.102045091846545	-0.825503958564105
		0.102186828813949	0.998433952282051
BEST4	bestrophin 4	0.102186828813949	0.625418828487179
		0.102186828813949	-0.504170585205128
KCNJ8	potassium voltage-gated channel subfamily J member 8	0.102195231145832	-0.602757963666667
LINC01446	long intergenic non-protein coding RNA 1446	0.102195231145832	-0.455359866333334
C11orf49	chromosome 11 open reading frame 49	0.102257190939799	-0.569545450641026
		0.102379756845066	-0.766642235307693
HIST1H2AL///HIST1H2AL	histone cluster 1, H2al///histone cluster 1, H2al	0.102379756845066	-1.31469742397436
ARHGDIB	Rho GDP dissociation inhibitor beta	0.102432900956853	0.789665915897437
ADAT2	adenosine deaminase, tRNA specific 2	0.102470184649975	-0.839962022615387
RPS6KA1	ribosomal protein S6 kinase A1	0.102471720057796	0.551333322666665
SCRT1	scratch family transcriptional repressor 1	0.102513254415709	0.585166080974357
BAMBI	BMP and activin membrane bound inhibitor	0.102513254415709	1.00552313335897
AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	0.102518344691752	-0.604637138102567
SAT2	spermidine/spermine N1-acetyltransferase family member 2	0.102632392893025	-0.748943076871797
		0.102751504232609	-0.570374836923076
		0.102844647753853	-0.940445642384615
		0.102866240267995	-0.974963248358976
BLOC1S1-RDH5///BLOC1S1	BLOC1S1-RDH5 readthrough///biogenesis of lysosomal organelles complex 1 subunit 1	0.102866240267995	1.10134594782051
DTD1	D-tyrosyl-tRNA deacylase 1	0.102888898412521	-0.565841374846152
RAB32	RAB32, member RAS oncogene family	0.102947038559423	0.656569406512818
GSG2	germ cell associated 2, haspin	0.102947038559423	0.863543970025642
TNS1	tensin 1	0.102947038559423	-0.731259119897437
ETV3	ETS variant 3	0.102947038559423	0.562758179384615
TFIP11	tuftelin interacting protein 11	0.102947038559423	0.712728054179486
AIFM3	apoptosis inducing factor, mitochondria associated 3	0.102947038559423	0.578314363307692
ERAP1	endoplasmic reticulum aminopeptidase 1	0.102947038559423	-0.48550753448718
LOC441242	uncharacterized LOC441242	0.102947038559423	0.537936518666666
RPL21P44	ribosomal protein L21 pseudogene 44	0.102947038559423	-0.802856697333334
TAOK1	TAO kinase 1	0.102947038559423	0.602858399923075
GDF3	growth differentiation factor 3	0.102947038559423	-0.603688434179487
TMEM106A	transmembrane protein 106A	0.103037869727241	-1.15306771107692
		0.103114693056029	-1.73382672735898
LOC81691	exonuclease NEF-sp	0.103118677558939	-0.713067264435898
RRM2	ribonucleotide reductase regulatory subunit M2	0.103500568270487	1.287046609
OR4C12	olfactory receptor family 4 subfamily C member 12	0.103517864706264	-0.428375487153847
		0.103663168571725	1.57064628394872
NCOA3	nuclear receptor coactivator 3	0.103793174127457	0.571772857205126
ZNF527	zinc finger protein 527	0.103803340712978	-0.636982386615382
LINC01123///LINC01106	long intergenic non-protein coding RNA 1123///long intergenic non-protein coding RNA 1106	0.103803340712978	-1.10319721702564
KIAA2013	KIAA2013	0.103803340712978	0.728582158307693
LACC1	laccase domain containing 1	0.103835950278786	-0.857441356589745
		0.103904829728893	-0.514890600128203
KLHDC10	kelch domain containing 10	0.104180148810036	-0.668643381589742
RBM6	RNA binding motif protein 6	0.104199773892867	0.611389816205127
AP2S1	adaptor related protein complex 2 sigma 1 subunit	0.104199773892867	0.730273475025641
EPHA10	EPH receptor A10	0.104199773892867	0.711840648179487
		0.104199773892867	-0.984564805769232
		0.104222895451276	-0.599341265307693
ZFP2	ZFP2 zinc finger protein	0.104222895451276	-0.638684587538462
C8orf4	chromosome 8 open reading frame 4	0.104283846452745	0.543298127435897
STX16-NPEPL1///NPEPL1	STX16-NPEPL1 readthrough (NMD candidate)///aminopeptidase-like 1	0.104313281803985	0.57830522148718
MRPL16	mitochondrial ribosomal protein L16	0.104417574575603	-0.615716363307693
UBA1	ubiquitin like modifier activating enzyme 1	0.104579096875901	0.455981289
		0.104581320597443	-1.02540574084615
PIDD1	p53-induced death domain protein 1	0.104594136699712	0.518547393205127
MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like	0.10501310755592	0.531959012256412
ARHGAP9	Rho GTPase activating protein 9	0.10501310755592	-0.45872116679487
SNORD116-21	small nucleolar RNA, C/D box 116-21	0.105056958590495	-2.08676982023077
DOCK9	dedicator of cytokinesis 9	0.105237206368817	0.812368441000001
ST20-AS1	ST20 antisense RNA 1	0.105248962548816	0.635100551153846
		0.10545575990642	1.27906934441026
		0.10549989922279	-0.754935496205132
		0.105612469823343	-0.921267413000001
TRIM3	tripartite motif containing 3	0.105655733664452	-0.471255417538461
JARID2	jumonji and AT-rich interaction domain containing 2	0.105682263338152	0.582165881666668
		0.105682263338152	-1.56125113253846
INSIG2	insulin induced gene 2	0.105682263338152	-1.33101992087179
		0.105682263338152	0.677406549666665
		0.105682263338152	-0.893698261820514
SMIM3	small integral membrane protein 3	0.105682263338152	1.13459499602564
		0.105682263338152	1.11194583087179
TMEM181	transmembrane protein 181	0.105682263338152	-0.557462553051285
		0.105845198090936	-0.261740332641026
MRPL10	mitochondrial ribosomal protein L10	0.105904869429682	0.976464476692307
		0.10598899123644	-0.804418025384612
ZNF669	zinc finger protein 669	0.105999027505072	-0.59778204202564
ARHGAP5	Rho GTPase activating protein 5	0.106079487117675	-1.01771498602564
PHTF1	putative homeodomain transcription factor 1	0.106147461666226	-0.752231201179487
KANK1	KN motif and ankyrin repeat domains 1	0.106147461666226	-0.954854174820514
KIAA0930	KIAA0930	0.106162555726429	0.971910913153845
CCDC71	coiled-coil domain containing 71	0.106167250827388	-0.506011324717949
		0.106167250827388	-0.565087415205129
SNORD30	small nucleolar RNA, C/D box 30	0.106255771147962	1.17825094261538
ANGEL1	angel homolog 1	0.106292941100981	-0.521765080666668
		0.106292941100981	-1.40663381582051
TAS2R3	taste 2 receptor member 3	0.106332468916667	-0.677489584717947
